:Player:Pos:FG%:3P%:2P%:FT%:ORB:DRB:TRB:AST:STL:BLK:TOV:PTS:ORtg:DRtg:3PAr:BPM:DBPM:DRB%:DWS:FTr:OBPM:ORB%:OWS:PER:STL%:TOV%:TRB%:TS%:USG%:VORP:WS:WS/48:HEIGHT:WEIGHT:Cluster:Salaries
16:Lonzo Ball:1:0.406:0.329:0.482:0.417:1.8:6.4:8.2:8.3:2.3:0.6:3.4:15.2:100.0:109.0:0.5:0.5:1.5:14.0:1.7:0.105:-0.9:4.0:-0.2:11.7:2.3:17.8:9.1:0.487:16.9:0.9:1.6:0.052:198.1:190.0:0:8719320
17:Mo Bamba:5:0.481:0.3:0.555:0.587:4.1:10.8:14.9:2.5:0.8:4.1:2.7:18.7:105.0:103.0:0.288:-0.2:3.1:24.0:1.4:0.259:-3.3:8.8:0.3:14.9:0.8:13.7:16.3:0.539:17.8:0.4:1.7:0.106:213.4:221.0:6:5697600
18:J.J. Barea:1:0.418:0.297:0.479:0.705:0.8:5.3:6.1:13.6:1.4:0.1:4.6:26.8:105.0:113.0:0.332:-1.1:-2.2:11.6:0.6:0.203:1.1:1.9:0.4:16.3:1.4:14.7:6.8:0.495:28.1:0.2:1.0:0.064:182.9:185.0:0:2564753
19:Harrison Barnes:4:0.42:0.395:0.439:0.824:1.1:5.7:6.8:2.2:0.9:0.2:1.8:23.8:108.0:114.0:0.429:-2.3:-1.8:12.7:1.6:0.271:-0.6:2.4:2.0:12.8:0.9:7.9:7.5:0.55:20.9:-0.2:3.6:0.068:203.2:225.0:6:24147727
20:Will Barton:2:0.402:0.342:0.447:0.77:1.3:6.9:8.2:5.1:0.7:0.9:2.7:20.4:102.0:111.0:0.426:-2.3:-0.5:15.3:1.1:0.161:-1.8:2.9:0.1:11.0:0.7:11.7:9.1:0.501:20.0:-0.1:1.2:0.049:198.1:190.0:0:12960000
21:Keita Bates-Diop:3:0.423:0.25:0.522:0.643:1.5:6.4:7.9:1.6:1.7:1.3:1.3:14.4:100.0:113.0:0.366:-3.1:0.0:14.4:0.4:0.197:-3.2:3.4:0.0:9.6:1.7:8.3:8.8:0.489:14.1:-0.1:0.3:0.032:205.7:229.0:2:1416852
22:Nicolas Batum:3:0.45:0.389:0.519:0.865:1.5:6.6:8.1:5.1:1.5:0.9:2.4:14.4:112.0:113.0:0.53:0.8:0.9:14.9:1.7:0.158:-0.1:3.2:2.0:11.9:1.5:16.3:8.9:0.581:13.2:1.7:3.7:0.076:203.2:200.0:3:25565217
23:Aron Baynes:5:0.471:0.344:0.519:0.855:5.2:8.9:14.1:3.3:0.7:2.0:2.3:16.7:118.0:108.0:0.274:0.2:1.4:19.8:1.1:0.278:-1.2:11.4:1.3:14.0:0.7:13.8:15.6:0.567:15.2:0.5:2.4:0.139:208.3:260.0:1:5453280
24:Kent Bazemore:2:0.402:0.32:0.465:0.726:1.0:6.3:7.3:4.3:2.5:1.2:3.4:21.9:98.0:112.0:0.434:-2.2:0.0:14.6:1.4:0.253:-2.2:2.3:-0.7:11.9:2.5:13.6:8.3:0.507:22.0:-0.1:0.7:0.021:195.6:201.0:5:19269662
25:Bradley Beal:2:0.475:0.351:0.548:0.808:1.4:5.0:6.4:7.0:1.9:0.9:3.5:32.8:113.0:114.0:0.37:2.8:-1.1:11.7:1.7:0.278:3.9:3.1:5.9:20.8:1.9:11.0:7.4:0.581:28.4:3.7:7.6:0.12:195.6:207.0:3:27093019
